Año,Lugar,Ciudad,País,Radiodifusora,Participantes,geo
1956,Teatro Kursaal,Lugano,Suiza,SRG SSR,7,"Teatro Kursaal, Lugano, Suiza"
1957,Großer Sendesaal des hessischen Rundfunks,Fráncfort del Meno,Alemania,ARD,10,"Großer Sendesaal des hessischen Rundfunks, Fráncfort del Meno, Alemania"
1958,Estudios AVRO,Hilversum,Países Bajos,NOS,10,"Estudios AVRO, Hilversum, Países Bajos"
1959,Palais des Festivals,Cannes,Francia,RTF,11,"Palais des Festivals, Cannes, Francia"
1960,Royal Festival Hall,Londres,Reino Unido,BBC,13,"Royal Festival Hall, Londres, Reino Unido"
1961,Palais des Festivals,Cannes,Francia,TF1,16,"Palais des Festivals, Cannes, Francia"
1962,"Grand Auditorium de RTL, Villa Louvigny",Luxemburgo,Luxemburgo,RTL,16,"Grand Auditorium de RTL, Villa Louvigny, Luxemburgo, Luxemburgo"
1963,BBC Television Centre,Londres,Reino Unido,BBC,16,"BBC Television Centre, Londres, Reino Unido"
1964,Tivolis Koncertsal,Copenhague,Dinamarca,DR,16,"Tivolis Koncertsal, Copenhague, Dinamarca"
1965,Auditorium della RAI di Napoli,Nápoles,Italia,RAI,18,"Auditorium della RAI di Napoli, Nápoles, Italia"
1966,"Grand Auditorium de RTL, Villa Louvigny",Luxemburgo,Luxemburgo,RTL,18,"Grand Auditorium de RTL, Villa Louvigny, Luxemburgo, Luxemburgo"
1967,Großer Festsaal der Wiener Hofburg,Viena,Austria,ORF,17,"Großer Festsaal der Wiener Hofburg, Viena, Austria"
1968,Royal Albert Hall,Londres,Reino Unido,BBC,17,"Royal Albert Hall, Londres, Reino Unido"
1969,Teatro Real,Madrid,España,RTVE,16,"Teatro Real, Madrid, España"
1970,RAI Congrescentrum,Ámsterdam,Países Bajos,NOS,12,"RAI Congrescentrum, Ámsterdam, Países Bajos"
1971,Gaiety Theatre,Dublín,Irlanda,RTÉ,18,"Gaiety Theatre, Dublín, Irlanda"
1972,Usher Hall,Edimburgo,Reino Unido,BBC,18,"Usher Hall, Edimburgo, Reino Unido"
1973,Théâtre Municipal,Luxemburgo,Luxemburgo,RTL,17,"Théâtre Municipal, Luxemburgo, Luxemburgo"
1974,Brighton Dome,Brighton,Reino Unido,BBC,17,"Brighton Dome, Brighton, Reino Unido"
1975,St. Eriks Mässan Älvsjö,Estocolmo,Suecia,SR,19,"St. Eriks Mässan Älvsjö, Estocolmo, Suecia"
1976,Centro de Congresos de los Países Bajos,La Haya,Países Bajos,NOS,18,"Centro de Congresos de los Países Bajos, La Haya, Países Bajos"
1977,Centro de Congresos de Wembley,Londres,Reino Unido,BBC,18,"Centro de Congresos de Wembley, Londres, Reino Unido"
1978,Palais des congrès de Paris,París,Francia,TF1,20,"Palais des congrès de Paris, París, Francia"
1979,Centro Internacional de Convenciones de Jerusalén,Jerusalén,Israel,IBA,19,"Centro Internacional de Convenciones de Jerusalén, Jerusalén, Israel"
1980,Centro de Congresos de los Países Bajos,La Haya,Países Bajos,NOS,19,"Centro de Congresos de los Países Bajos, La Haya, Países Bajos"
1981,RDS Simmonscourt Pavilion,Dublín,Irlanda,RTÉ,20,"RDS Simmonscourt Pavilion, Dublín, Irlanda"
1982,Centro Internacional de Convenciones de Harrogate,Harrogate,Reino Unido,BBC,18,"Centro Internacional de Convenciones de Harrogate, Harrogate, Reino Unido"
1983,Rudi-Sedlmayer-Halle,Múnich,Alemania,ARD,20,"Rudi-Sedlmayer-Halle, Múnich, Alemania"
1984,Théâtre Municipal,Luxemburgo,Luxemburgo,RTL,19,"Théâtre Municipal, Luxemburgo, Luxemburgo"
1985,Scandinavium,Gotemburgo,Suecia,SVT,19,"Scandinavium, Gotemburgo, Suecia"
1986,Grieghallen,Bergen,Noruega,NRK,20,"Grieghallen, Bergen, Noruega"
1987,Palais du Centenaire,Bruselas,Bélgica,RTBF,22,"Palais du Centenaire, Bruselas, Bélgica"
1988,RDS Simmonscourt Pavilion,Dublín,Irlanda,RTÉ,21,"RDS Simmonscourt Pavilion, Dublín, Irlanda"
1989,Palais de Beaulieu,Lausana,Suiza,SRG SSR,22,"Palais de Beaulieu, Lausana, Suiza"
1990,Sala de Conciertos Vatroslav Lisinski,Zagreb,Yugoslavia,JRT,22,"Sala de Conciertos Vatroslav Lisinski, Zagreb, Yugoslavia"
1991,Estudios Cinecittà,Roma,Italia,RAI,22,"Estudios Cinecittà, Roma, Italia"
1992,Malmö Isstadion,Malmö,Suecia,SVT,23,"Malmö Isstadion, Malmö, Suecia"
1993,Green Glens Arena,Millstreet,Irlanda,RTÉ,25,"Green Glens Arena, Millstreet, Irlanda"
1994,Point Theatre,Dublín,Irlanda,RTÉ,25,"Point Theatre, Dublín, Irlanda"
1995,Point Theatre,Dublín,Irlanda,RTÉ,23,"Point Theatre, Dublín, Irlanda"
1996,Oslo Spektrum,Oslo,Noruega,NRK,23,"Oslo Spektrum, Oslo, Noruega"
1997,Point Theatre,Dublín,Irlanda,RTÉ,25,"Point Theatre, Dublín, Irlanda"
1998,National Indoor Arena,Birmingham,Reino Unido,BBC,25,"National Indoor Arena, Birmingham, Reino Unido"
1999,Centro Internacional de Convenciones de Jerusalén,Jerusalén,Israel,IBA,23,"Centro Internacional de Convenciones de Jerusalén, Jerusalén, Israel"
2000,Globen Arena,Estocolmo,Suecia,SVT,24,"Globen Arena, Estocolmo, Suecia"
2001,Parken Stadion,Copenhague,Dinamarca,DR,23,"Parken Stadion, Copenhague, Dinamarca"
2002,Saku Suurhall,Tallin,Estonia,ERR,24,"Saku Suurhall, Tallin, Estonia"
2003,Skonto Hall,Riga,Letonia,LTV,26,"Skonto Hall, Riga, Letonia"
2004,Abdi İpekçi Arena,Estambul,Turquía,TRT,36,"Abdi İpekçi Arena, Estambul, Turquía"
2005,Palacio de los Deportes de Kiev,Kiev,Ucrania,NTU,39,"Palacio de los Deportes de Kiev, Kiev, Ucrania"
2006,Olympic Indoor Hall,Atenas,Grecia,ERT,37,"Olympic Indoor Hall, Atenas, Grecia"
2007,Hartwall Areena,Helsinki,Finlandia,YLE,42,"Hartwall Areena, Helsinki, Finlandia"
2008,Belgrade Arena,Belgrado,Serbia,RTS,43,"Belgrade Arena, Belgrado, Serbia"
2009,Estadio Olimpiski,Moscú,Rusia,C1R,42,"Estadio Olimpiski, Moscú, Rusia"
2010,Telenor Arena,Oslo9​,Noruega,NRK,39,"Telenor Arena, Oslo9​, Noruega"
2011,Esprit Arena,Düsseldorf,Alemania,ARD y NDR.,43,"Esprit Arena, Düsseldorf, Alemania"
2012,Baku Crystal Hall,Bakú,Azerbaiyán,İTV,42,"Baku Crystal Hall, Bakú, Azerbaiyán"
2013,Malmö Arena,Malmö,Suecia,SVT,39,"Malmö Arena, Malmö, Suecia"
2014,B&W Hallerne,Copenhague,Dinamarca,DR,37,"B&W Hallerne, Copenhague, Dinamarca"
2015,Wiener Stadthalle,Viena,Austria,ORF,40,"Wiener Stadthalle, Viena, Austria"
2016,Globen Arena,Estocolmo,Suecia,SVT,42,"Globen Arena, Estocolmo, Suecia"
2017,Centro Internacional de Exposiciones,Kiev,Ucrania,NTU,42,"Centro Internacional de Exposiciones, Kiev, Ucrania"
2018,Altice Arena,Lisboa,Portugal,RTP,43,"Altice Arena, Lisboa, Portugal"
2019,Expo Tel Aviv,Tel Aviv,Israel,IPBC,41,"Expo Tel Aviv, Tel Aviv, Israel"
2020,,,Edición cancelada por la pandemia de COVID-19,,,Edición cancelada por la pandemia de COVID-19
2021,Rotterdam Ahoy,Róterdam,Países Bajos,"AVROTROS, NPO y NOS",39,"Rotterdam Ahoy, Róterdam, Países Bajos"
2022,Pala Alpitour,Turín,Italia,RAI,41,"Pala Alpitour, Turín, Italia"
