latitude,longitude,name,desc,address,año,ciudad,participantes,país,radiodifusora
46.0039535,8.9551013,Teatro Kursaal,"Año: 1956<br>Ciudad: Lugano<br>País: Suiza<br>Radiodifusora: SRG SSR<br>Participantes: 7<br>geo: Teatro Kursaal, Lugano, Suiza","Teatro Kursaal, Lugano, Suiza",1956,Lugano,7,Suiza,SRG SSR
50.1368641,8.6779362,Großer Sendesaal des hessischen Rundfunks,"Año: 1957<br>Ciudad: Fráncfort del Meno<br>País: Alemania<br>Radiodifusora: ARD<br>Participantes: 10<br>geo: Großer Sendesaal des hessischen Rundfunks, Fráncfort del Meno, Alemania","Großer Sendesaal des hessischen Rundfunks, Fráncfort del Meno, Alemania",1957,Fráncfort del Meno,10,Alemania,ARD
52.2438813,5.1677438,Estudios AVRO,"Año: 1958<br>Ciudad: Hilversum<br>País: Países Bajos<br>Radiodifusora: NOS<br>Participantes: 10<br>geo: Estudios AVRO, Hilversum, Países Bajos","Estudios AVRO, Hilversum, Países Bajos",1958,Hilversum,10,Países Bajos,NOS
43.5507813,7.0179622,Palais des Festivals,"Año: 1959<br>Ciudad: Cannes<br>País: Francia<br>Radiodifusora: RTF<br>Participantes: 11<br>geo: Palais des Festivals, Cannes, Francia","Palais des Festivals, Cannes, Francia",1959,Cannes,11,Francia,RTF
51.5058062,-0.1166288,Royal Festival Hall,"Año: 1960<br>Ciudad: Londres<br>País: Reino Unido<br>Radiodifusora: BBC<br>Participantes: 13<br>geo: Royal Festival Hall, Londres, Reino Unido","Royal Festival Hall, Londres, Reino Unido",1960,Londres,13,Reino Unido,BBC
43.5507813,7.0179622,Palais des Festivals,"Año: 1961<br>Ciudad: Cannes<br>País: Francia<br>Radiodifusora: TF1<br>Participantes: 16<br>geo: Palais des Festivals, Cannes, Francia","Palais des Festivals, Cannes, Francia",1961,Cannes,16,Francia,TF1
49.6170689,6.1264028,"Grand Auditorium de RTL, Villa Louvigny","Año: 1962<br>Ciudad: Luxemburgo<br>País: Luxemburgo<br>Radiodifusora: RTL<br>Participantes: 16<br>geo: 1 Bd Robert Schuman, 2525 Ville-Haute Luxembourg","1 Bd Robert Schuman, 2525 Ville-Haute Luxembourg",1962,Luxemburgo,16,Luxemburgo,RTL
51.5100255,-0.2268465,BBC Television Centre,"Año: 1963<br>Ciudad: Londres<br>País: Reino Unido<br>Radiodifusora: BBC<br>Participantes: 16<br>geo: BBC Television Centre, Londres, Reino Unido","BBC Television Centre, Londres, Reino Unido",1963,Londres,16,Reino Unido,BBC
55.6728251,12.5685371,Tivolis Koncertsal,"Año: 1964<br>Ciudad: Copenhague<br>País: Dinamarca<br>Radiodifusora: DR<br>Participantes: 16<br>geo: Tivolis Koncertsal, Copenhague, Dinamarca","Tivolis Koncertsal, Copenhague, Dinamarca",1964,Copenhague,16,Dinamarca,DR
40.8263541,14.1902029,Auditorium della RAI di Napoli,"Año: 1965<br>Ciudad: Nápoles<br>País: Italia<br>Radiodifusora: RAI<br>Participantes: 18<br>geo: Auditorium della RAI di Napoli, Nápoles, Italia","Auditorium della RAI di Napoli, Nápoles, Italia",1965,Nápoles,18,Italia,RAI
49.6170689,6.1264028,"Grand Auditorium de RTL, Villa Louvigny","Año: 1966<br>Ciudad: Luxemburgo<br>País: Luxemburgo<br>Radiodifusora: RTL<br>Participantes: 16<br>geo: 1 Bd Robert Schuman, 2525 Ville-Haute Luxembourg","1 Bd Robert Schuman, 2525 Ville-Haute Luxembourg",1966,Luxemburgo,16,Luxemburgo,RTL
48.2061314,16.365296,Großer Festsaal der Wiener Hofburg,"Año: 1967<br>Ciudad: Viena<br>País: Austria<br>Radiodifusora: ORF<br>Participantes: 17<br>geo: Großer Festsaal der Wiener Hofburg, Viena, Austria","Großer Festsaal der Wiener Hofburg, Viena, Austria",1967,Viena,17,Austria,ORF
51.5009088,-0.177366,Royal Albert Hall,"Año: 1968<br>Ciudad: Londres<br>País: Reino Unido<br>Radiodifusora: BBC<br>Participantes: 17<br>geo: Royal Albert Hall, Londres, Reino Unido","Royal Albert Hall, Londres, Reino Unido",1968,Londres,17,Reino Unido,BBC
40.418299,-3.710578,Teatro Real,"Año: 1969<br>Ciudad: Madrid<br>País: España<br>Radiodifusora: RTVE<br>Participantes: 16<br>geo: Teatro Real, Madrid, España","Teatro Real, Madrid, España",1969,Madrid,16,España,RTVE
52.3414484,4.8881543,RAI Congrescentrum,"Año: 1970<br>Ciudad: Ámsterdam<br>País: Países Bajos<br>Radiodifusora: NOS<br>Participantes: 12<br>geo: RAI Congrescentrum, Ámsterdam, Países Bajos","RAI Congrescentrum, Ámsterdam, Países Bajos",1970,Ámsterdam,12,Países Bajos,NOS
53.3404613,-6.2615754,Gaiety Theatre,"Año: 1971<br>Ciudad: Dublín<br>País: Irlanda<br>Radiodifusora: RTÉ<br>Participantes: 18<br>geo: Gaiety Theatre, Dublín, Irlanda","Gaiety Theatre, Dublín, Irlanda",1971,Dublín,18,Irlanda,RTÉ
55.9471097,-3.2053722,Usher Hall,"Año: 1972<br>Ciudad: Edimburgo<br>País: Reino Unido<br>Radiodifusora: BBC<br>Participantes: 18<br>geo: Usher Hall, Edimburgo, Reino Unido","Usher Hall, Edimburgo, Reino Unido",1972,Edimburgo,18,Reino Unido,BBC
49.6174228,6.1276309,Théâtre Municipal,"Año: 1973<br>Ciudad: Luxemburgo<br>País: Luxemburgo<br>Radiodifusora: RTL<br>Participantes: 17<br>geo: Théâtre Municipal, Luxemburgo, Luxemburgo","Théâtre Municipal, Luxemburgo, Luxemburgo",1973,Luxemburgo,17,Luxemburgo,RTL
50.8236999,-0.1380842,Brighton Dome,"Año: 1974<br>Ciudad: Brighton<br>País: Reino Unido<br>Radiodifusora: BBC<br>Participantes: 17<br>geo: Brighton Dome, Brighton, Reino Unido","Brighton Dome, Brighton, Reino Unido",1974,Brighton,17,Reino Unido,BBC
